,Authors,Title,Year,EID,DOI,drone_name
47,Toumieh C.; Floreano D.,High-Speed Motion Planning for Aerial Swarms in Unknown and Cluttered Environments,2024,2-s2.0-85199055904,10.1109/TRO.2024.3429193,Bitcraze Crazyflie
48,Cereda E.; Bonato S.; Nava M.; Giusti A.; Palossi D.,Vision-state Fusion: Improving Deep Neural Networks for Autonomous Robotics,2024,2-s2.0-85190149914,10.1007/s10846-024-02091-6,Bitcraze Crazyflie
49,Ricardo J.A.; Filipe Silva J.; Santos D.A.,Robust Collision-Free Guidance for Multicopters in Airspaces with Numerous Flying Obstacles,2024,2-s2.0-85211957174,10.1109/ANDESCON61840.2024.10755690,Bitcraze Crazyflie
50,Schroeder L.; Muller H.; Polonelli T.; Magno M.; Benini L.,SuperBat - Advancing Obstacle Avoidance on Nano-UAVs by Fusing Ultrasonic and Laser-based Time-of-Flight Sensors,2024,2-s2.0-85211949037,10.1109/ISSE63315.2024.10741113,Bitcraze Crazyflie
51,Crupi L.; Giusti A.; Palossi D.,High-throughput Visual Nano-drone to Nano-drone Relative Localization using Onboard Fully Convolutional Networks,2024,2-s2.0-85202430412,10.1109/ICRA57147.2024.10611455,Bitcraze Crazyflie
52,Beaver L.E.; Kroninger C.; Dorothy M.; Malikopoulos A.A.,A Constraint-Driven Approach to Line Flocking: The V Formation as an Energy-Saving Strategy,2024,2-s2.0-85208218784,10.1109/TCNS.2024.3487612,Bitcraze Crazyflie
53,Kalenberg K.; Muller H.; Polonelli T.; Schiaffino A.; Niculescu V.; Cioflan C.; Magno M.; Benini L.,Stargate: Multimodal Sensor Fusion for Autonomous Navigation on Miniaturized UAVs,2024,2-s2.0-85184799563,10.1109/JIOT.2024.3363036,Bitcraze Crazyflie
54,Takahashi H.; Watanabe M.; Tanita K.; Sugiyasu K.; Yokota N.,Design of Dynamic Connection Switching Control Function Based on Coordination of Mini-Drones,2024,2-s2.0-85213391253,10.1109/GCCE62371.2024.10760703,DJI Tello
55,Niculescu V.; Polonelli T.; Magno M.; Benini L.,NanoSLAM: Enabling Fully Onboard SLAM for Tiny Robots,2024,2-s2.0-85179803059,10.1109/JIOT.2023.3339254,Bitcraze Crazyflie
56,Ricardo Jr J.A.; Silva J.F.; Santos D.A.,Robust Collision-Free Guidance for Multirotor Aerial Vehicles Under Short-Range Sensors,2024,2-s2.0-85193839772,10.1007/s40313-024-01097-7,Bitcraze Crazyflie
57,Brandstätter A.; Smolka S.A.; Stoller S.D.; Tiwari A.; Grosu R.,Flock-Formation Control of Multi-Agent Systems using Imperfect Relative Distance Measurements,2024,2-s2.0-85202429833,10.1109/ICRA57147.2024.10610147,Bitcraze Crazyflie
58,Tran V.P.; Garratt M.A.; Anavatti S.G.; Ravi S.,Collaborative gas source localization strategy with networked nano-drones in unknown cluttered environments,2024,2-s2.0-85195666512,10.1016/j.swevo.2024.101615,Bitcraze Crazyflie
59,Huang Z.; Yang Z.; Krupani R.; Senbaslar B.; Batra S.; Sukhatme G.S.,Collision Avoidance and Navigation for a Quadrotor Swarm Using End-to-end Deep Reinforcement Learning,2024,2-s2.0-85202430668,10.1109/ICRA57147.2024.10611499,Bitcraze Crazyflie
60,Adajania V.K.; Zhou S.; Singh A.K.; Schoellig A.P.,AMSwarmX: Safe Swarm Coordination in CompleX Environments via Implicit Non-Convex Decomposition of the Obstacle-Free Space,2024,2-s2.0-85202450931,10.1109/ICRA57147.2024.10610428,Bitcraze Crazyflie
61,Zimmerman N.; Müller H.; Magno M.; Benini L.,Fully Onboard Low-Power Localization with Semantic Sensor Fusion on a Nano-UAV using Floor Plans,2024,2-s2.0-85202449954,10.1109/ICRA57147.2024.10610851,Bitcraze Crazyflie
62,Mostafa S.A.; Ravi S.; Asaad Zebari D.; Asaad Zebari N.; Abed Mohammed M.; Nedoma J.; Martinek R.; Deveci M.; Ding W.,A YOLO-based deep learning model for Real-Time face mask detection via drone surveillance in public spaces,2024,2-s2.0-85195024464,10.1016/j.ins.2024.120865,DJI Tello
63,Bana F.R.; Alsayed A.; Krajnik T.; Arvin F.,Iterative Risk Aware PRM Path Planning Algorithm for Autonomous Unknown Environments Exploration,2024,2-s2.0-85197337388,10.1109/ICARA60736.2024.10553177,Bitcraze Crazyflie
64,Karaguzel T.A.; Retamal V.; Cambier N.; Ferrante E.,From Shadows to Light: A Swarm Robotics Approach with Onboard Control for Seeking Dynamic Sources in Constrained Environments,2024,2-s2.0-85177087189,10.1109/LRA.2023.3331897,Bitcraze Crazyflie
65,Mandrioli C.; Carlsson M.N.; Maggio M.,Testing Abstractions for Cyber-Physical Control Systems,2023,2-s2.0-85180262411,10.1145/3617170,Bitcraze Crazyflie
66,Wu R.; Liu B.; Fu P.; Ji X.; Lu W.,Convolutional Neural Network Accelerator Architecture Design for Ultimate Edge Computing Scenario; [应用于极致边缘计算场景的卷积神经网络加速器架构设计],2023,2-s2.0-85163650451,10.11999/JEIT220130,Bitcraze Crazyflie
67,Chen L.; Wang Y.; Miao Z.; Feng M.; Zhou Z.; Wang H.; Wang D.,Reciprocal Velocity Obstacle Spatial-Temporal Network for Distributed Multirobot Navigation,2024,2-s2.0-85190741350,10.1109/TIE.2024.3379630,Bitcraze Crazyflie
68,Zhang D.; Zhang X.; Zhang Z.; Zhu B.; Zhang Q.,Reinforced Potential Field for Multi-Robot Motion Planning in Cluttered Environments,2023,2-s2.0-85182523811,10.1109/IROS55552.2023.10342416,Bitcraze Crazyflie
69,Barra J.; Creuzet T.; Lesecq S.; Scorletti G.; Blanco E.; Zarudniev M.,Micro-Drone Ego-Velocity and Height Estimation in GPS-Denied Environments Using an FMCW MIMO Radar,2023,2-s2.0-85146228211,10.1109/JSEN.2022.3229421,Bitcraze Crazyflie
70,Higgins J.; Mohammad N.; Bezzo N.,"A Model Predictive Path Integral Method for Fast, Proactive, and Uncertainty-Aware UAV Planning in Cluttered Environments",2023,2-s2.0-85182524583,10.1109/IROS55552.2023.10341501,Bitcraze Crazyflie
71,Bejarano F.P.; Brunke L.; Schoellig A.P.,Multi-Step Model Predictive Safety Filters: Reducing Chattering by Increasing the Prediction Horizon,2023,2-s2.0-85184807417,10.1109/CDC49753.2023.10383734,Bitcraze Crazyflie
72,Chen J.; Ma R.; Oyekan J.,A deep multi-agent reinforcement learning framework for autonomous aerial navigation to grasping points on loads,2023,2-s2.0-85165543021,10.1016/j.robot.2023.104489,Bitcraze Crazyflie
73,Mañas-Álvarez F.-J.; Guinaldo M.; Dormido R.; Dormido S.,Sampling and and communication: impact on formation control in heterogeneous multi-robot systems; [Muestreo y comunicación: impacto en el control de formaciones en sistemas multi-robot heterogéneos],2024,2-s2.0-85189699427,10.4995/riai.2023.20155,Bitcraze Crazyflie
74,Kazim M.; Sim H.; Shin G.; Hwang H.; Kim K.-K.K.,Aggressive Trajectory Tracking for Nano Quadrotors Using Embedded Nonlinear Model Predictive Control,2024,2-s2.0-85192448955,10.1007/978-3-031-44851-5_24,Bitcraze Crazyflie
75,Schindler D.; Niculescu V.; Polonelli T.; Palossi D.; Benini L.; Magno M.,A Relative Infrastructure-less Localization Algorithm for Decentralized and Autonomous Swarm Formation,2023,2-s2.0-85182524698,10.1109/IROS55552.2023.10342168,Bitcraze Crazyflie
76,De Guzman C.J.P.; Chua A.Y.; Chu T.S.; Secco E.L.,Evolutionary Algorithm-Based Energy-Aware Path Planning with a Quadrotor for Warehouse Inventory Management,2023,2-s2.0-85183386512,10.28991/HIJ-2023-04-04-012,Bitcraze Crazyflie
77,Chee K.Y.; Silva T.C.; Hsieh M.A.; Pappas G.J.,Enhancing Sample Efficiency and Uncertainty Compensation in Learning-Based Model Predictive Control for Aerial Robots,2023,2-s2.0-85182523242,10.1109/IROS55552.2023.10341774,Bitcraze Crazyflie
78,Cao K.; Chen Y.-Q.; Gao S.; Yan K.; Zhang J.; An D.,Omni-Directional Capture for Multi-Drone Based on 3D-Voronoi Tessellation,2023,2-s2.0-85166307410,10.3390/drones7070458,Bitcraze Crazyflie
79,Pushp D.; Xu J.; Liu L.,Coordination of Bounded Rational Drones Through Informed Prior Policy,2023,2-s2.0-85182522308,10.1109/IROS55552.2023.10342006,Bitcraze Crazyflie
80,Zhang Y.; Xu J.; Zhao C.; Dong J.,IF-Based Trajectory Planning and Cooperative Control for Transportation System of Cable Suspended Payload with Multi UAVs,2023,2-s2.0-85182524520,10.1109/IROS55552.2023.10341351,Bitcraze Crazyflie
81,Sun S.; Xu J.; Ren W.,Distributed Continuous-Time Algorithms for Time-Varying Constrained Convex Optimization,2023,2-s2.0-85136879814,10.1109/TAC.2022.3198113,Bitcraze Crazyflie
82,Muller H.; Niculescu V.; Polonelli T.; Magno M.; Benini L.,Robust and Efficient Depth-Based Obstacle Avoidance for Autonomous Miniaturized UAVs,2023,2-s2.0-85174853094,10.1109/TRO.2023.3315710,Bitcraze Crazyflie
83,Gronauer S.; Stumke D.; Diepold K.,Comparing Quadrotor Control Policies for Zero-Shot Reinforcement Learning under Uncertainty and Partial Observability,2023,2-s2.0-85182526379,10.1109/IROS55552.2023.10341941,Bitcraze Crazyflie
84,Sultangazin A.; Pannocchi L.; Fraile L.; Tabuada P.,Learning to Control Known Feedback Linearizable Systems From Demonstrations,2024,2-s2.0-85159791045,10.1109/TAC.2023.3272392,Bitcraze Crazyflie
85,Zekry O.H.; Ashry M.M.; Hafez A.T.; Attia T.,Modeling and analysis of nonlinear backstepping controller for the crazyflie quadrotor trajectory tracking,2023,2-s2.0-85180132844,10.1088/1742-6596/2616/1/012031,Bitcraze Crazyflie
86,Bena R.M.; Zhao C.; Nguyen Q.,Safety-Aware Perception for Autonomous Collision Avoidance in Dynamic Environments,2023,2-s2.0-85174808592,10.1109/LRA.2023.3322345,Bitcraze Crazyflie
87,Kumar I.N.; Bandyopadhyay S.; Reddy P.; Godkhindi S.S.; Prabhakar T.V.,Watcher of the Warehouse: Edge-Based Low Power Inventory Management Using Nano Drones,2024,2-s2.0-85186694872,10.1109/COMSNETS59351.2024.10426854,Bitcraze Crazyflie
88,Pichierri L.; Testa A.; Notarstefano G.,CrazyChoir: Flying Swarms of Crazyflie Quadrotors in ROS 2,2023,2-s2.0-85162653103,10.1109/LRA.2023.3286814,Bitcraze Crazyflie
89,Farooq A.; Nain Zukhraf S.Z.; Shafi S.; Kamal M.; Chumuang N.,Vision-Based Navigation for a Small-Sized Drone: A Simple AI Strategy at IMAV'22,2024,2-s2.0-85195135912,10.1109/ICCI60780.2024.10532299,Bitcraze Crazyflie
90,Budihartono M.; Moncayo H.,In-Flight Testing Verification of an Adaptive Distributed Fault-Tolerant Control Architecture,2024,2-s2.0-85191349635,10.2514/6.2024-0120,Bitcraze Crazyflie
91,Priandana K.; Wulandari; Dewi Hardhienata M.K.; Widhi Surya Atman M.; Satya P.T.,Implementation of Modified Ant-Colony Optimization Algorithm using Crazyflie Nano Quadcopters,2023,2-s2.0-85185199996,10.1109/INCITEST59455.2023.10397008,Bitcraze Crazyflie
92,Priandana K.; Pramana Lubis R.A.; Kusuma Dewi Hardhienata M.; Wulandari; Atman M.W.S.,Minimizing The Global Waiting Time of Swarm UAV Network for Efficient Battery Charging in Persistent Monitoring Scenario,2023,2-s2.0-85185196089,10.1109/INCITEST59455.2023.10396909,Bitcraze Crazyflie
93,Magalhães Júnior J.M.; Zhai L.; Fotiadis F.; Kanellopoulos A.; Vamvoudakis K.G.; Hugues J.,Real-Time and Experimental Reactive and Proactive Defense in a Multi-Agent Scenario,2024,2-s2.0-85192186666,10.2514/6.2024-0343,Bitcraze Crazyflie
94,Lou J.; Wu W.; Liao S.; Shi R.,Air-M: A Visual Reality Many-Agent Reinforcement Learning Platform for Large-Scale Aerial Unmanned System,2023,2-s2.0-85182524542,10.1109/IROS55552.2023.10341405,Bitcraze Crazyflie
95,Sacchetto L.; Korte M.; Gronauer S.; Kissel M.; Diepold K.,Offline Reinforcement Learning for Quadrotor Control: Overcoming the Ground Effect,2023,2-s2.0-85182524387,10.1109/IROS55552.2023.10341599,Bitcraze Crazyflie
96,Sharma S.; Dijkstra T.; Prasad R.V.,Open Gimbal: A 3 Degrees of Freedom Open Source Sensing and Testing Platform for Nano-and Micro-UAVs,2023,2-s2.0-85168751802,10.1109/LSENS.2023.3307121,Bitcraze Crazyflie
97,Bernini N.; Bessa M.; Delmas R.; Gold A.; Goubault E.; Pennec R.; Putot S.; Sillion F.,Reinforcement learning with formal performance metrics for quadcopter attitude control under non-nominal contexts,2024,2-s2.0-85173138572,10.1016/j.engappai.2023.107090,Bitcraze Crazyflie
98,Lv Y.; Zhang H.; Wang Z.; Rigoll G.,3-D Localization of Multiagent Systems under Random Environments Based on Iterative Learning,2023,2-s2.0-85147206397,10.1109/TCNS.2022.3233305,Bitcraze Crazyflie
99,Cereda E.; Giusti A.; Palossi D.,Secure Deep Learning-based Distributed Intelligence on Pocket-sized Drones,2023,2-s2.0-85200543730,,Bitcraze Crazyflie
100,Bouras A.; Gutierrez-Galvez A.; Burgués J.; Bouzid Y.; Pardo A.; Guiatni M.; Marco S.,Concentration map reconstruction for gas source location using nano quadcopters: Metal oxide semiconductor sensor implementation and indoor experiments validation,2023,2-s2.0-85150872457,10.1016/j.measurement.2023.112638,Bitcraze Crazyflie
101,Zekry O.H.; Ashry M.M.; Hafez A.T.; Attia T.,Integral Backstepping For Crazyflie Quadrotor Trajectory Tracking Control,2024,2-s2.0-85196156161,10.2514/6.2024-1710,Bitcraze Crazyflie
102,Candan F.; Beke A.; Mihaylova L.,An Interacting Multiple Model Approach Based on Maximum Correntropy Student's T Filter,2023,2-s2.0-85182526160,10.1109/IROS55552.2023.10341366,Bitcraze Crazyflie
103,Friess C.; Niculescu V.; Polonelli T.; Magno M.; Benini L.,Fully Onboard SLAM for Distributed Mapping with a Swarm of Nano-Drones,2024,2-s2.0-85186075109,10.1109/JIOT.2024.3367451,Bitcraze Crazyflie
104,Labbadi M.; Chatri C.; Boubaker S.; Kamel S.,Fixed-Time Controller for Altitude/Yaw Control of Mini-Drones: Real-Time Implementation with Uncertainties,2023,2-s2.0-85164158283,10.3390/math11122703,Parrot Mambo
105,Stroobants S.; De Wagter C.; De Croon G.,Neuromorphic Control using Input-Weighted Threshold Adaptation,2023,2-s2.0-85173570269,10.1145/3589737.3605963,Bitcraze Crazyflie
106,Arvidsson M.; Sawirot S.; Englund C.; Alonso-Fernandez F.; Torstensson M.; Duran B.,Drone Navigation and License Place Detection for Vehicle Location in Indoor Spaces,2024,2-s2.0-85180752157,10.1007/978-3-031-49552-6_31,Bitcraze Crazyflie
107,Jia H.; Ding R.; Dong K.; Bai S.; Chirarattananon P.,Quadrolltor: A Reconfigurable Quadrotor with Controlled Rolling and Turning,2023,2-s2.0-85161020100,10.1109/LRA.2023.3279624,Bitcraze Crazyflie
108,Dumbgen F.; Hoffet A.; Kolundzija M.; Scholefield A.; Vetterli M.,Blind as a Bat: Audible Echolocation on Small Robots,2023,2-s2.0-85135742663,10.1109/LRA.2022.3194669,Bitcraze Crazyflie
109,Karagüzel T.A.; Turgut A.E.; Eiben A.E.; Ferrante E.,Collective gradient perception with a flying robot swarm,2023,2-s2.0-85140601194,10.1007/s11721-022-00220-1,Bitcraze Crazyflie
110,Navardi M.; Humes E.; Manjunath T.; Mohsenin T.,MetaE2RL: Toward Meta-Reasoning for Energy-Efficient Multigoal Reinforcement Learning With Squeezed-Edge You Only Look Once,2023,2-s2.0-85172992664,10.1109/MM.2023.3318200,Bitcraze Crazyflie
111,Satir S.; Aktas Y.F.; Atasoy S.; Ankarali M.; Sahin E.,Distributed Model Predictive Formation Control of Robots with Sampled Trajectory Sharing in Cluttered Environments,2023,2-s2.0-85182524650,10.1109/IROS55552.2023.10341414,Bitcraze Crazyflie
112,Xu J.; D'Antonio D.S.; Ammirato D.J.; Saldana D.,"SBlimp: Design, Model, and Translational Motion Control for a Swing-Blimp",2023,2-s2.0-85182524923,10.1109/IROS55552.2023.10341796,Bitcraze Crazyflie
113,Karagüzel T.A.; Cambier N.; Eiben A.E.; Ferrante E.,Collective Gradient Following with Sensory Heterogeneous UAV Swarm,2024,2-s2.0-85190114907,10.1007/978-3-031-51497-5_14,Bitcraze Crazyflie
114,Chen H.; Wu R.; Lu W.; Ji X.; Wang T.; Ding H.; Dai Y.; Liu B.,Fully Onboard Single Pedestrian Tracking on Nano-UAV Platform,2023,2-s2.0-85175078466,10.1007/s10846-023-01979-z,Bitcraze Crazyflie
